sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
4853,2026-07-10T10:30:42.000+01:00,12.162775993347168,12.861676216125488,12.86168384552002,660.0,32.61577606201172,42.059967041015625,1017.72216796875,0.023193359375,1.0,12.0,30919,16574,live,940GZZLUSTD,Stratford,,,,
4854,2026-07-10T10:30:52.000+01:00,12.623738288879395,13.349125862121582,13.349133491516113,712.0,32.64248275756836,42.29800796508789,1017.7036743164062,0.1849365234375,1.0,12.0,30902,16563,live,940GZZLUSTD,Stratford,,,,
4855,2026-07-10T10:31:02.000+01:00,10.759771347045898,11.378050804138184,11.378058433532715,746.0,32.546348571777344,41.956207275390625,1017.6988525390625,0.0482177734375,1.0,12.0,30960,16572,live,940GZZLUSTD,Stratford,,,,
4856,2026-07-10T10:31:12.000+01:00,9.646919250488281,10.201251983642578,10.201257705688477,750.0,32.492942810058594,41.63576889038086,1017.7182006835938,0.1934814453125,1.0,11.0,30989,16539,live,940GZZLUSTD,Stratford,,,,
4857,2026-07-10T10:31:22.000+01:00,8.96392822265625,9.479015350341797,9.479021072387695,748.0,32.52765655517578,41.32600784301758,1017.7400512695312,0.218505859375,1.0,11.0,30977,16520,live,940GZZLUSTD,Stratford,,,,
4858,2026-07-10T10:31:32.000+01:00,9.47220516204834,10.016499519348145,10.016505241394043,733.0,32.522315979003906,41.35042190551758,1017.7299194335938,0.101318359375,1.0,11.0,30954,16498,live,940GZZLUSTD,Stratford,,,,
4859,2026-07-10T10:31:42.000+01:00,9.894673347473145,10.463242530822754,10.463249206542969,714.0,32.51697540283203,41.28786087036133,1017.693359375,0.3656005859375,1.0,11.0,30970,16497,live,940GZZLUSTD,Stratford,,,,
4860,2026-07-10T10:31:52.000+01:00,15.419204711914062,16.305227279663086,16.30523681640625,686.0,32.53833770751953,41.25581741333008,1017.6773681640625,0.159912109375,1.0,12.0,30939,16488,live,940GZZLUSTD,Stratford,,,,
4861,2026-07-10T10:32:02.000+01:00,19.826091766357422,20.995677947998047,21.033836364746094,676.0,32.54901885986328,41.533531188964844,1017.6788330078125,0.0146484375,1.0,12.0,30880,16483,live,,,,,,
4862,2026-07-10T10:32:12.000+01:00,19.379650115966797,20.52712631225586,20.56973648071289,669.0,32.578392028808594,41.70443344116211,1017.6710815429688,0.0775146484375,1.0,12.0,30837,16493,live,,,,,,
4863,2026-07-10T10:32:22.000+01:00,18.337356567382812,19.400630950927734,19.412683486938477,666.0,32.61577606201172,42.429237365722656,1017.7330322265625,0.6195068359375,1.0,13.0,30729,16493,live,,,,,,
4864,2026-07-10T10:32:32.000+01:00,17.347122192382812,18.344894409179688,18.346118927001953,673.0,32.66384506225586,43.62401580810547,1017.8192749023438,0.8624267578125,1.0,13.0,30703,16524,live,,,,,,
4865,2026-07-10T10:32:42.000+01:00,16.51869010925293,17.467979431152344,17.46810531616211,688.0,32.66384506225586,44.354923248291016,1018.6560668945312,8.367919921875,1.0,13.0,30698,16563,live,,,,,,
4866,2026-07-10T10:32:52.000+01:00,16.14354133605957,17.071189880371094,17.071208953857422,694.0,32.70389938354492,44.48157501220703,1022.3641357421875,37.0806884765625,1.0,14.0,30767,16598,live,,,,,,
4867,2026-07-10T10:33:02.000+01:00,15.898386001586914,16.811941146850586,16.811952590942383,695.0,32.701229095458984,43.837642669677734,1022.8556518554688,4.9151611328125,1.0,14.0,30835,16605,live,,,,,,
4868,2026-07-10T10:33:12.000+01:00,15.906688690185547,16.824264526367188,16.82872772216797,696.0,32.69855880737305,43.10826110839844,1019.3417358398438,35.13916015625,1.0,14.0,30844,16576,live,,,,,,
4869,2026-07-10T10:33:22.000+01:00,15.374130249023438,16.28182601928711,16.312353134155273,689.0,32.711910247802734,42.607765197753906,1020.727294921875,13.8555908203125,1.0,14.0,30855,16548,live,,,,,,
4870,2026-07-10T10:33:32.000+01:00,15.99480152130127,16.951416015625,16.99860191345215,673.0,32.73861312866211,42.35751724243164,1023.48291015625,27.55615234375,1.0,14.0,30857,16528,live,,,,,,
4871,2026-07-10T10:33:42.000+01:00,27.32223892211914,29.04915428161621,29.246488571166992,658.0,32.754634857177734,42.12710952758789,1018.77734375,47.0556640625,1.0,14.0,30848,16525,live,,,,,,
4872,2026-07-10T10:33:52.000+01:00,34.602455139160156,37.05754089355469,37.64447784423828,651.0,32.79201889038086,41.937896728515625,1015.6263427734375,31.510009765625,1.0,14.0,30853,16509,live,,,,,,
4873,2026-07-10T10:34:02.000+01:00,42.773651123046875,46.439613342285156,47.9587516784668,635.0,32.80537033081055,41.890594482421875,1020.9804077148438,53.5406494140625,1.0,14.0,30818,16501,live,,,,,,
4874,2026-07-10T10:34:12.000+01:00,51.13788986206055,56.57527160644531,59.71750259399414,636.0,32.83474349975586,41.76546859741211,1019.4341430664062,15.462646484375,1.0,15.0,30818,16499,live,,,,,,
4875,2026-07-10T10:34:22.000+01:00,58.52813720703125,65.830078125,70.78291320800781,633.0,32.85610580444336,41.65865707397461,1016.9033813476562,25.3076171875,1.0,15.0,30690,16499,live,,,,,,
4876,2026-07-10T10:34:32.000+01:00,69.74018096923828,79.74067687988281,87.27668762207031,630.0,32.86411666870117,41.908905029296875,1018.894775390625,19.9139404296875,1.0,15.0,30734,16496,live,,,,,,
4877,2026-07-10T10:34:42.000+01:00,82.4823989868164,96.11974334716797,107.30818939208984,621.0,32.89082336425781,41.997406005859375,1018.1548461914062,7.3992919921875,1.0,15.0,30751,16507,live,,,,,,
4878,2026-07-10T10:34:52.000+01:00,85.8343505859375,101.05567932128906,113.99369049072266,617.0,32.91218566894531,42.121002197265625,1016.6558837890625,14.9896240234375,1.0,15.0,30738,16508,live,,,,,,
4879,2026-07-10T10:35:02.000+01:00,82.51799774169922,97.4124984741211,110.17918395996094,617.0,32.90684509277344,42.28427505493164,1017.4635009765625,8.076171875,1.0,15.0,30726,16514,live,,,,,,
4880,2026-07-10T10:35:12.000+01:00,82.39422607421875,98.51818084716797,112.83975982666016,618.0,32.94956970214844,42.444496154785156,1017.537353515625,0.738525390625,1.0,16.0,30704,16528,live,,,,,,
4881,2026-07-10T10:35:22.000+01:00,81.9467544555664,100.15365600585938,117.12675476074219,632.0,32.9896240234375,42.65049362182617,1017.7515869140625,2.142333984375,1.0,16.0,30691,16534,live,940GZZLUMED,Mile End,,,,
4882,2026-07-10T10:35:32.000+01:00,85.12347412109375,104.6190414428711,122.98306274414062,648.0,32.994964599609375,42.575721740722656,1017.9232177734375,1.71630859375,1.0,16.0,30730,16544,live,940GZZLUMED,Mile End,,,,
4883,2026-07-10T10:35:42.000+01:00,86.35899353027344,106.44306945800781,125.45781707763672,653.0,33.0323486328125,42.558937072753906,1017.9877319335938,0.6451416015625,1.0,16.0,30706,16542,live,940GZZLUMED,Mile End,,,,
4884,2026-07-10T10:35:52.000+01:00,85.51612091064453,104.23005676269531,121.58282470703125,657.0,33.0750732421875,42.624549865722656,1018.038818359375,0.5108642578125,1.0,16.0,30701,16542,live,940GZZLUMED,Mile End,,,,
